HGNC_Symbol,log2R_CNA,Z_Score
SH2D1A,3,-0.0117
SH2D1B,2,-0.0117
AL451048.1,2,-0.0117
PSMA1P1,2,-0.0112
AC025277.1,3,-0.0117
Z99497.1,2,-0.0113
Z99497.2,3,-0.0117
AC100775.1,2,-0.0117
MT1IP,3,-0.0117
MRPS31P1,2,-0.0117
MCUB,3,0.0035
MRPS31P4,4,-0.0105
SIPA1L2,4,-0.0096
SIPA1L3,3,-0.0090
MRPS31P5,4,-0.0111
MRPS31P2,4,-0.0106
SIPA1L1,2,-0.0017
SOX5-AS1,2,-0.0117
H2BC20P,4,-0.0106
IGHD2-21,2,-0.0117
COX6CP18,2,-0.0117
COX6CP16,3,-0.0117
COX6CP17,3,-0.0117
COX6CP14,4,-0.0108
COX6CP15,2,-0.0117
COX6CP12,2,-0.0114
COX6CP13,2,-0.0116
COX6CP10,4,-0.0116
MT1P3,2,-0.0117
COX6CP11,2,-0.0117
AC130651.1,2,-0.0110
FABP6-AS1,2,-0.0117
MT1P1,2,-0.0117
C1QTNF12,2,-0.0114
AL589669.1,3,-0.0117
AC242426.1,2,-0.0117
AC242426.2,2,-0.0117
RPS3AP9,2,-0.0117
AMER1,2,-0.0101
AMER2,2,-0.0117
AL359636.1,2,-0.0117
AMER3,4,-0.0117
AL359636.2,2,-0.0117
RPS3AP5,2,-0.0102
RPS3AP6,2,-0.0048
RSF1-IT1,2,-0.0116
RSF1-IT2,2,-0.0111
RPS3AP7,4,-0.0115
RPS3AP8,4,-0.0117
RPS3AP1,3,-0.0117
RPS3AP2,3,-0.0116
RPS3AP3,2,-0.0117
RPS3AP4,4,-0.0116
AGAP2-AS1,2,-0.0101
AC009951.2,2,-0.0117
AC009951.3,4,-0.0117
AL442224.1,2,-0.0117
AC009951.1,4,-0.0117
AC009951.6,2,-0.0081
AC009951.4,4,-0.0101
AC009951.5,2,-0.0106
AC022513.1,3,-0.0117
AC027338.1,2,-0.0117
AC027338.2,2,-0.0117
IKBKB-DT,2,-0.0117
AC007556.1,2,-0.0117
QPCT,2,-0.0036
IGHD2-15,4,-0.0117
SIPA1,2,-0.0074
SOCS2P2,5,-0.0117
AL451142.2,2,-0.0117
AL451142.1,2,-0.0117
SOCS2P1,4,-0.0117
AC108681.1,2,-0.0117
C3orf62,4,-0.0103
H2AL1MP,3,-0.0117
AL138740.1,4,-0.0117
AC095050.1,2,-0.0116
AC095050.2,2,-0.0117
IGHVII-33-1,4,-0.0117
C3orf70,2,-0.0114
SPECC1L,2,0.0048
IGHV3OR15-7,2,-0.0117
TIMELESS,2,-0.0094
AL139234.1,NA,-0.0109
SNORA48B,2,-0.0117
RN7SL569P,3,-0.0113
C3orf85,4,-0.0117
C3orf86,2,-0.0117
CAMSAP1,2,-0.0001
CAMSAP2,2,0.0205
C3orf80,2,-0.0110
C3orf84,2,-0.0116
NPC1L1,4,-0.0117
AMELX,3,-0.0117
AMELY,NA,-0.0117
RWDD4P1,4,-0.0109
RWDD4P2,4,-0.0017
PNPT1,2,0.0089
RN7SL568P,2,-0.0117
CAMSAP3,2,-0.0116
AC024075.1,2,-0.0049
AC024075.2,3,-0.0059
AL671762.1,2,-0.0117
AC024075.3,2,-0.0045
ZFP91P1,2,-0.0114
RN7SL567P,4,-0.0117
TPBGL-AS1,2,-0.0117
AC104590.1,5,-0.0116
C3orf22,2,-0.0117
C3orf20,4,-0.0115
AC104986.1,2,-0.0110
AL117329.2,6,-0.0117
AL117329.1,6,-0.0117
RNU6-658P,2,-0.0110
SNORA41B,2,-0.0117
C3orf38,4,0.0076
RN7SL566P,2,-0.0092
C3orf33,2,-0.0106
C3orf36,2,-0.0115
C1QTNF9B,4,-0.0117
AL390862.1,NA,-0.0117
RNU6-657P,2,-0.0117
HNRNPD-DT,2,-0.0117
MIR1289-1,2,-0.0117
MIR1289-2,2,-0.0117
C3orf49,4,-0.0111
SNORA1B,2,-0.0117
AC010598.1,2,-0.0107
AC034205.1,2,-0.0117
SNORA18,2,-0.0117
AC034205.2,2,-0.0117
AC034205.3,2,-0.0117
SNORA19,2,-0.0092
RN7SL565P,2,-0.0117
SNORA15,3,-0.0117
SNORA12,2,0.2628
SNORA13,2,-0.0062
SNORA10,3,-0.0117
SNORA11,3,-0.0092
AC010608.1,2,-0.0117
AC010608.2,2,-0.0117
AC010608.3,2,-0.0117
C3orf52,4,-0.0108
C3orf56,4,-0.0117
AC034195.1,2,-0.0117
RNU6-659P,4,-0.0117
RN7SL564P,4,-0.0063
PNPP1,2,-0.0117
RALGAPA1P1,2,-0.0110
MDC1,2,-0.0101
SNORA40,2,-0.0117
AC009127.1,3,-0.0117
AC009127.2,2,-0.0117
AL591004.1,4,-0.0117
AL157935.1,2,-0.0113
AL157935.2,2,-0.0116
AC106870.2,2,-0.0117
AC106870.3,2,-0.0117
SNORA3B,2,-0.0033
SNORA3C,2,-0.0117
MIR4666A,4,-0.0117
MIR4666B,2,-0.0117
SNORA3A,2,-0.0117
AC008632.1,2,-0.0117
KRTAP3-4P,2,-0.0117
IL4I1,2,-0.0116
AL353997.3,2,-0.0117
AL353997.4,2,-0.0117
SNORA38,2,0.0020
AL353997.1,2,-0.0117
AL353997.2,2,-0.0117
AC110809.1,3,-0.0117
AC023090.2,2,-0.0116
RN7SL587P,4,-0.0043
SNORA37,2,0.0074
AL353997.5,2,-0.0117
RNU6-678P,4,-0.0112
SNORA35,3,-0.0117
TGIF2P1,4,-0.0109
SNORA32,2,-0.0117
SNORA33,2,0.0032
SNORA30,3,-0.0088
SNORA31,2,-0.0077
AC023090.1,2,-0.0112
AC026116.1,2,-0.0117
SNORA2C,2,-0.0115
SNORA2A,2,-0.0045
SNORA2B,2,-0.0092
AR,3,-0.0106
SNORA29,2,-0.0117
SNORA27,4,-0.0117
SNORA28,4,0.0250
AC106870.1,2,-0.0117
RNU6-677P,2,-0.0117
SNORA25,2,-0.0117
RN7SL586P,4,-0.0117
SNORA26,2,-0.0117
SNORA23,2,0.1290
SNORA24,2,-0.0117
SNORA21,2,-0.0117
SNORA22,4,0.0057
CGGBP1,4,0.0255
GRID2IP,3,-0.0113
SNORA20,2,-0.0097
SNORA61,4,-0.0117
AL353611.2,2,-0.0117
SNORA62,2,-0.0117
SNORA60,2,-0.0117
ACTL7A,2,-0.0115
ACTL7B,2,-0.0117
AL353611.1,2,-0.0117
C2CD4D-AS1,2,-0.0116
SNORA5B,4,-0.0117
AL138789.1,2,-0.0117
C2,2,-0.0110
SNORA5C,4,0.0159
DYNC2LI1,4,-0.0018
C3,3,-0.0114
SNORA5A,3,-0.0035
C5,2,-0.0079
C6,2,-0.0117
C7,2,-0.0105
C9,1,-0.0112
SNORA58,2,-0.0100
SNORA56,3,-0.0117
RN7SL585P,2,-0.0117
SNORA57,2,-0.0117
SNORA54,2,0.0423
SNORA55,4,-0.0117
SNORA52,2,-0.0117
SNORA53,2,0.1445
SNORA51,2,-0.0115
PES1P1,2,-0.0117
PES1P2,2,-0.0117
SEMA6A-AS1,2,-0.0117
SEMA6A-AS2,2,-0.0117
CP,2,-0.0116
CS,2,0.0222
SNORA49,2,0.0252
SNORA47,2,-0.0102
SNORA48,2,-0.0117
RNU6-679P,2,-0.0117
AC243591.1,2,-0.0117
