"HGNC_Symbol","Cluster"
"HSPA2-AS1",1
"MDP1",3
"AC113403.1",1
"SH2D3A",3
"SH2D3C",3
"VPS37C",1
"VPS37D",3
"VPS37A",3
"VPS37B",3
"AL137818.1",1
"AL162390.1",1
"IL6RP1",1
"OSTM1-AS1",2
"RNFT2",3
"COL15A1",3
"AC026356.1",1
"AC026356.2",1
"RNFT1",3
"AC093635.1",1
"Z97200.1",1
"AC090155.2",2
"AC090155.1",2
"MAGOH3P",1
"PC",1
"AC007064.3",2
"AC007064.4",1
"AC007064.1",1
"AC007064.2",2
"AL049543.1",1
"NECTIN1-DT",1
"PABPC1L",3
"VPS35L",3
"SLC35C2P1",1
"DHFR2",1
"AC100872.2",2
"TXNDC11",3
"TXNDC12",3
"AC100872.1",2
"AL139231.1",1
"TXNDC15",3
"TXNDC16",1
"AL162151.3",1
"TXNDC17",3
"AL162151.1",1
"AL162151.2",1
"AC022418.1",1
"AC019129.2",1
"HNRNPCP10",2
"AC019129.1",1
"AP002414.1",1
"AP002414.4",1
"AP002414.5",1
"AP002414.2",1
"TIMD4",3
"AP002414.3",1
"AC025278.2",1
"AC025278.3",1
"AC025278.1",1
"AC093875.1",1
"MDS2",1
"TMEM72-AS1",1
"RNF11P1",1
"RNF11P2",1
"KIF9-AS1",1
"MST1R",3
"AC025038.1",1
"AF107885.2",1
"MST1L",1
"SLC2A1-DT",1
"OSGEP",3
"AF107885.1",1
"AC013738.1",1
"SI",3
"AC016629.2",1
"AC016629.3",1
"AC016629.1",1
"AC078922.1",2
"AP000354.1",2
"TF",3
"TG",2
"TH",3
"AC022167.2",1
"AC022167.3",1
"AC022167.4",1
"AC022167.1",1
"U2",1
"U3",1
"AC018635.1",2
"U4",1
"AC018635.2",2
"U6",1
"U7",1
"AC078828.1",1
"GGTA1",1
"CLYBL",3
"AC009950.1",1
"AC009950.2",1
"HYAL1",3
"HYAL2",3
"HYAL3",1
"HYAL4",3
"AC023830.2",1
"MCCD1P2",1
"AC023830.3",1
"AC023830.1",1
"MCCD1P1",1
"THUMPD3-AS1",1
"AL844175.1",2
"AC116535.1",1
"ALS2CL",3
"PLEKHG4B",3
"MIR99AHG",1
"XG",2
"XK",3
"GLB1L",3
"THEMIS2",3
"AL392089.1",1
"TRBV11-1",2
"TRBV11-2",2
"TRBV11-3",2
"AL137078.1",1
"AL137078.2",1
"PAMR1",3
"RBPMSLP",1
"AC034198.1",1
"AC034198.2",1
"AC118344.1",1
"AC118344.2",1
"DKC1",3
"AC079610.1",1
"AC079610.2",1
"BX119904.1",2
"AC104985.3",1
"RPL18P10",1
"AC104985.1",1
"AC104985.2",1
"RPL18P11",1
"AC022898.1",1
"RPL18P13",1
"AC022898.2",1
"AC003682.1",1
"HCAR2",3
"HCAR3",3
"TRGC1",1
"AL117328.1",1
"AL117328.2",2
"HCAR1",3
"TRGC2",1
"PBX2P1",1
"CARNMT1-AS1",1
"AC079360.1",1
"IGHV3OR16-6",1
"AC005014.4",1
"IGHV3OR16-7",1
"AC005014.2",1
"IGHV3OR16-8",1
"AC005014.3",1
"IGHV3OR16-9",1
"ACTL10",1
"AC005014.1",1
"TTLL1-AS1",2
"MEA1",3
"JKAMPP1",2
"SNORA79B",3
"RN7SL578P",1
"AL451047.1",1
"AC090644.1",1
"AC098826.3",1
"AC098826.1",1
"AC098826.2",1
"RNU6-669P",1
"IGHV1OR16-4",1
"AKR1B1P6",1
"AKR1B1P7",1
"AKR1B1P4",1
"AKR1B1P5",1
"AKR1B1P2",2
"AKR1B1P3",1
"IGHV1OR16-1",1
"IGHV1OR16-2",1
"RN7SL577P",1
"IGHV1OR16-3",1
"AKR1B1P1",1
"AP001432.1",1
"AC008539.1",1
"AP000844.1",1
"AL450313.1",1
"AP000844.2",1
"OR7K1P",1
"AL392183.1",1
"AKR1B1P8",2
"MIR6086",1
"AL353612.1",1
"AL353612.2",1
"MIR6084",1
"MIR6085",1
"MIR6082",1
"MIR6083",1
"MIR6080",1
"MIR6081",1
"ABCA12",3
"ABCA13",2
"GSTM5P1",1
"AC023245.2",2
"AC023245.1",2
"ADNP2",1
"SNORA73A",1
"SNORA73B",3
"MIR6088",1
"MIR6089",1
"MIR6075",1
"MIR6076",1
"MED1",3
"MIR6073",1
"MECR",3
"MIR6074",1
"AP003733.1",1
"MIR6071",1
"MIR6072",1
"AP003733.2",1
"MIR6070",1
"MED8",3
"MED9",1
"AP003733.3",1
"MED4",3
"DKK1",3
"DKK2",3
"MED6",3
"DKK3",3
"MED7",1
"AC012360.2",1
"DKK4",3
"GET1-SH3BGR",1
"AC012360.3",1
"ABCA10",3
"AC012360.1",1
"RN7SL598P",1
"SNORA74A",3
"SNORA74B",1
"RNU6-689P",1
"MIR6079",1
"SNORA74D",1
"GPLD1",3
"MIR6077",1
"MIR6078",1
"MEG3",1
"OSER1",3
"AC009126.1",1
"AL157936.1",1
"VPS26C",3
"SULT6B2P",1
"VPS26A",3
"VPS26B",3
"MEFV",3
"SNORD111B",1
"MEG8",1
"MEG9",1
"AC113404.3",1
