HGNC_Symbol,log2R_CNA,Z_Score
Z99497.1,2,-0.0090
Z99497.2,2,-0.0090
AC100775.1,3,-0.0090
MT1IP,3,-0.0090
MRPS31P1,4,-0.0090
MCUB,3,-0.0056
SIPA1L2,3,0.0158
MRPS31P4,2,-0.0082
SIPA1L3,2,-0.0046
MRPS31P5,2,-0.0085
MRPS31P2,2,-0.0085
H2BC20P,3,-0.0083
SIPA1L1,4,-0.0021
SOX5-AS1,4,-0.0087
IGHD2-21,4,-0.0090
COX6CP18,2,-0.0090
COX6CP16,3,-0.0090
COX6CP17,2,-0.0088
COX6CP14,4,-0.0077
COX6CP15,2,-0.0085
COX6CP12,2,-0.0090
COX6CP13,3,-0.0088
COX6CP10,4,-0.0076
COX6CP11,4,-0.0090
AC130651.1,3,-0.0081
MT1P3,4,-0.0089
MT1P1,2,-0.0090
FABP6-AS1,3,-0.0090
C1QTNF12,4,-0.0086
AL589669.1,2,-0.0090
AC242426.1,3,-0.0090
AC242426.2,3,-0.0090
RPS3AP9,3,-0.0090
AMER1,2,-0.0055
AMER2,2,-0.0090
AL359636.1,2,-0.0090
AMER3,3,-0.0090
AL359636.2,2,-0.0090
RPS3AP5,2,-0.0085
RSF1-IT1,2,-0.0088
RPS3AP6,4,-0.0064
RPS3AP7,3,-0.0089
RSF1-IT2,2,-0.0085
RPS3AP8,3,-0.0090
RPS3AP1,4,-0.0090
RPS3AP2,3,-0.0088
RPS3AP3,4,-0.0081
RPS3AP4,4,-0.0090
AGAP2-AS1,3,-0.0083
AC009951.2,3,-0.0090
AC009951.3,3,-0.0090
AL442224.1,2,-0.0090
AC009951.1,3,-0.0090
AC009951.6,3,-0.0082
AC009951.4,3,-0.0058
AC009951.5,3,-0.0066
AC022513.1,4,-0.0088
AC027338.1,4,-0.0088
AC027338.2,4,-0.0088
IKBKB-DT,3,-0.0090
AC007556.1,3,-0.0090
QPCT,3,-0.0062
IGHD2-15,4,-0.0090
SIPA1,2,-0.0040
SOCS2P2,5,-0.0090
AL451142.2,2,-0.0090
AL451142.1,2,-0.0090
SOCS2P1,4,-0.0090
AC108681.1,5,-0.0090
C3orf62,4,-0.0081
H2AL1MP,2,-0.0090
AL138740.1,4,-0.0090
AC095050.1,3,-0.0089
AC095050.2,3,-0.0090
IGHVII-33-1,4,-0.0090
C3orf70,4,-0.0066
SPECC1L,5,-0.0038
TIMELESS,3,-0.0023
IGHV3OR15-7,4,-0.0090
AL139234.1,NA,-0.0088
SNORA48B,2,-0.0087
RN7SL569P,2,-0.0065
C3orf85,5,-0.0090
C3orf86,4,-0.0090
CAMSAP1,2,-0.0025
CAMSAP2,3,0.0126
C3orf80,5,-0.0079
C3orf84,4,-0.0089
NPC1L1,2,-0.0090
AMELX,2,-0.0090
AMELY,1,-0.0090
RWDD4P1,2,-0.0085
RWDD4P2,2,-0.0058
PNPT1,3,0.0033
RN7SL568P,4,-0.0077
CAMSAP3,3,-0.0090
AC024075.1,3,-0.0030
AC024075.2,3,-0.0058
AL671762.1,3,-0.0090
ZFP91P1,3,-0.0089
AC024075.3,3,-0.0047
RN7SL567P,4,-0.0087
TPBGL-AS1,2,-0.0090
AC104590.1,4,-0.0088
C3orf22,5,-0.0090
C3orf20,4,-0.0085
AC104986.1,3,-0.0083
AL117329.2,2,-0.0090
AL117329.1,2,-0.0089
RNU6-658P,3,-0.0076
SNORA41B,4,-0.0090
C3orf38,5,0.0053
RN7SL566P,4,0.0004
C3orf33,5,-0.0085
C3orf36,5,-0.0090
C1QTNF9B,2,-0.0090
AL390862.1,NA,-0.0090
RNU6-657P,2,-0.0090
HNRNPD-DT,3,-0.0086
MIR1289-1,4,-0.0081
MIR1289-2,3,-0.0090
C3orf49,4,-0.0082
SNORA1B,3,-0.0090
AC010598.1,3,-0.0084
AC034205.1,3,-0.0090
AC034205.2,3,-0.0090
SNORA18,2,-0.0090
SNORA19,2,-0.0075
AC034205.3,3,-0.0090
RN7SL565P,2,-0.0090
SNORA15,2,-0.0089
SNORA12,2,0.1831
SNORA13,4,0.0041
SNORA10,3,-0.0090
SNORA11,2,0.0027
AC010608.1,3,-0.0090
AC010608.2,3,-0.0090
AC010608.3,3,-0.0090
C3orf52,5,-0.0078
C3orf56,5,-0.0090
AC034195.1,5,-0.0089
RNU6-659P,4,-0.0090
RN7SL564P,2,0.0583
PNPP1,NA,-0.0090
RALGAPA1P1,2,-0.0085
MDC1,3,-0.0017
SNORA40,2,-0.0090
AC009127.1,3,-0.0089
AC009127.2,3,-0.0090
AL591004.1,5,-0.0090
AL157935.1,2,-0.0087
AL157935.2,2,-0.0090
AC106870.2,3,-0.0089
AC106870.3,3,-0.0090
SNORA3B,2,-0.0024
SNORA3C,3,-0.0090
MIR4666A,3,-0.0090
MIR4666B,2,0.0029
SNORA3A,2,-0.0090
AC008632.1,3,-0.0090
KRTAP3-4P,4,-0.0090
